  StartAddress   AddressRange  #Instructions  Ratio Linkage Visibility  Module                                                             Function                                                                                 FunctionSignature                                                                       
0x7fca06812a30           3421            767   4.46   global    default libamdhip64.so.5.4.50401                                           hipModuleLaunchKernel                                                                    hipModuleLaunchKernel                                                                   
0x7fca06803630            164             49   3.35   global    default libamdhip64.so.5.4.50401                                           targ203630                                                                               targ203630                                                                              
0x7fca068036e0            247            129   1.91   global    default libamdhip64.so.5.4.50401                                           targ2036e0                                                                               targ2036e0                                                                              
0x7fca06812da8           2353             23 102.30   global    default libamdhip64.so.5.4.50401                                           targ212da8                                                                               targ212da8                                                                              
0x7fca06813b28           1995             23  86.74   global    default libamdhip64.so.5.4.50401                                           targ213b28                                                                               targ213b28                                                                              
0x7fca06815c36           2118             23  92.09   global    default libamdhip64.so.5.4.50401                                           targ215c36                                                                               targ215c36                                                                              
0x7fca068317a0             16             82   0.20   global    default libamdhip64.so.5.4.50401                                           targ2317a0                                                                               targ2317a0                                                                              
0x7fca068e8470          82502            120 687.52   global    default libamdhip64.so.5.4.50401                                           targ2e8470                                                                               targ2e8470                                                                              
0x7fca068eef10             14             87   0.16   global    default libamdhip64.so.5.4.50401                                           targ2eef10                                                                               targ2eef10                                                                              
0x7fca068eef20             14             87   0.16   global    default libamdhip64.so.5.4.50401                                           targ2eef20                                                                               targ2eef20                                                                              
0x7fca068ef730             11            470   0.02   global    default libamdhip64.so.5.4.50401                                           targ2ef730                                                                               targ2ef730                                                                              
0x7fca068ef740             14            470   0.03   global    default libamdhip64.so.5.4.50401                                           targ2ef740                                                                               targ2ef740                                                                              
0x7fca068fc670             70             20   3.50   global    default libamdhip64.so.5.4.50401                                           targ2fc670                                                                               targ2fc670                                                                              
0x7fca0693b240            480            102   4.71   global    default libamdhip64.so.5.4.50401                                           targ33b240                                                                               targ33b240                                                                              
0x7fca0693c150           2524            664   3.80   global    default libamdhip64.so.5.4.50401                                           targ33c150                                                                               targ33c150                                                                              
0x7fca06959370            368            107   3.44   global    default libamdhip64.so.5.4.50401                                           targ359370                                                                               targ359370                                                                              
0x7fca069594e0            503            252   2.00   global    default libamdhip64.so.5.4.50401                                           targ3594e0                                                                               targ3594e0                                                                              
0x7fca06962420            164             49   3.35   global    default libamdhip64.so.5.4.50401                                           targ362420                                                                               targ362420                                                                              
0x7fca069624d0            247            129   1.91   global    default libamdhip64.so.5.4.50401                                           targ3624d0                                                                               targ3624d0                                                                              
0x7fca06968cc0            172             49   3.51   global    default libamdhip64.so.5.4.50401                                           targ368cc0                                                                               targ368cc0                                                                              
0x7fca06968d70           2277            508   4.48   global    default libamdhip64.so.5.4.50401                                           targ368d70                                                                               targ368d70                                                                              
0x7fca06975820            920            220   4.18   global    default libamdhip64.so.5.4.50401                                           targ375820                                                                               targ375820                                                                              
0x7fca06975bc0            122            255   0.48   global    default libamdhip64.so.5.4.50401                                           targ375bc0                                                                               targ375bc0                                                                              
0x7fca066dfa10           2117            410   5.16   global    default libamdhip64.so.5.4.50401                                           targdfa10                                                                                targdfa10                                                                               
0x7fca066e08f0             34            422   0.08   global    default libamdhip64.so.5.4.50401                                           targe08f0                                                                                targe08f0                                                                               
0x7fca066e1f00            698            186   3.75   global    default libamdhip64.so.5.4.50401                                           targe1f00                                                                                targe1f00                                                                               
0x7fca066e21c0            110            219   0.50   global    default libamdhip64.so.5.4.50401                                           targe21c0                                                                                targe21c0                                                                               
0x7fca092d0d90             11            120   0.09   global    default libdrm.so.2.4.0                                                    drmGetPrimaryDeviceNameFromFd                                                            drmGetPrimaryDeviceNameFromFd                                                           
0x7fca092d0da0             14            120   0.12   global    default libdrm.so.2.4.0                                                    drmGetRenderDeviceNameFromFd                                                             drmGetRenderDeviceNameFromFd                                                            
0x7fca092d3ae0             14            222   0.06   global    default libdrm.so.2.4.0                                                    drmModeGetConnector                                                                      drmModeGetConnector                                                                     
