  StartAddress   AddressRange  #Instructions  Ratio Linkage Visibility  Module                                                                   Function                                                                                 FunctionSignature                                                                       
0x7114048b204a         791244             14 56517.43  unknown    unknown ../../../../../libstdc++-v3/src/c++17/floating_from_chars.cc             std::__cxx11::basic_string<char, std::char_traits<char>, std::pmr::polymorphi...         std::__cxx11::basic_string<char, std::char_traits<char>, std::pmr::polymorphi...        
0x7114048b20be              5              1   5.00  unknown    unknown ../../../../../libstdc++-v3/src/c++17/floating_to_chars.cc               (anonymous namespace)::ryu::d2fixed_buffered_n.cold                                      (anonymous namespace)::ryu::d2fixed_buffered_n.cold                                     
0x711404984210            604            151   4.00  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_dir.cc                          std::filesystem::__cxx11::_Dir::open_subdir                                              std::filesystem::__cxx11::_Dir::open_subdir                                             
0x7114049851d0           1474            342   4.31  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_dir.cc                          std::filesystem::__cxx11::directory_iterator::directory_iterator                         std::filesystem::__cxx11::directory_iterator::directory_iterator                        
0x7114048b28d6            222             40   5.55  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_dir.cc                          std::filesystem::__cxx11::directory_iterator::directory_iterator.cold                    std::filesystem::__cxx11::directory_iterator::directory_iterator.cold                   
0x711404984460             12              4   3.00  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_dir.cc                          std::filesystem::__cxx11::directory_iterator::operator*                                  std::filesystem::__cxx11::directory_iterator::operator*                                 
0x711404986c40           2395            553   4.33  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_dir.cc                          std::filesystem::__cxx11::recursive_directory_iterator::__erase                          std::filesystem::__cxx11::recursive_directory_iterator::__erase                         
0x7114048b2d06            476             97   4.91  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_dir.cc                          std::filesystem::__cxx11::recursive_directory_iterator::__erase.cold                     std::filesystem::__cxx11::recursive_directory_iterator::__erase.cold                    
0x711404986310            972            323   3.01  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_dir.cc                          std::filesystem::__cxx11::recursive_directory_iterator::recursive_directory_i...         std::filesystem::__cxx11::recursive_directory_iterator::recursive_directory_i...        
0x7114048b2abc             39             11   3.55  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_dir.cc                          std::filesystem::__cxx11::recursive_directory_iterator::recursive_directory_i...         std::filesystem::__cxx11::recursive_directory_iterator::recursive_directory_i...        
