"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
1199,"__amd_rocclr_copyBufferRectAligned.kd",1,2,1437,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591484661,2919591499456,2919591510918,2919591511221,11462
1200,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1438,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591504589,2919591513202,2919591525665,2919591527582,12463
1201,"__amd_rocclr_copyBufferRectAligned.kd",1,3,476,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591517483,2919591525505,2919591539331,2919591539996,13826
1202,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1441,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591549974,2919591557846,2919591570230,2919591571535,12384
1203,"__amd_rocclr_copyBufferRectAligned.kd",1,3,477,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591560935,2919591569107,2919591584937,2919591585251,15830
1204,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1443,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591594568,2919591602581,2919591627147,2919591629254,24566
1205,"__amd_rocclr_copyBufferRectAligned.kd",1,0,238,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591606351,2919591613922,2919591630313,2919591636568,16391
1206,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1445,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591638101,2919591649108,2919591662854,2919591664100,13746
1207,"__amd_rocclr_copyBufferRectAligned.kd",1,1,244,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591654331,2919591662774,2919591675518,2919591676353,12744
1208,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1447,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591682033,2919591689755,2919591704222,2919591705738,14467
1209,"__amd_rocclr_copyBufferRectAligned.kd",1,2,1449,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591696250,2919591711155,2919591721976,2919591722069,10821
1210,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1450,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591714364,2919591724260,2919591739128,2919591743369,14868
1211,"__amd_rocclr_copyBufferRectAligned.kd",1,3,480,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591726708,2919591734079,2919591744739,2919591748118,10660
1212,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1453,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591759519,2919591767892,2919591780316,2919591782282,12424
1213,"__amd_rocclr_copyBufferRectAligned.kd",1,3,481,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591777924,2919591789132,2919591798350,2919591798503,9218
1214,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1455,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591808702,2919591816434,2919591829338,2919591833289,12904
1215,"__amd_rocclr_copyBufferRectAligned.kd",1,0,240,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591821877,2919591827895,2919591842924,2919591843628,15029
1216,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1457,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591849379,2919591860176,2919591875004,2919591878694,14828
1217,"__amd_rocclr_copyBufferRectAligned.kd",1,1,246,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591867463,2919591874443,2919591887067,2919591887621,12624
1218,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1459,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591892871,2919591900613,2919591915601,2919591915474,14988
1219,"__amd_rocclr_copyBufferRectAligned.kd",1,2,1461,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591905405,2919591922374,2919591933354,2919591936323,10980
1220,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1462,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591931834,2919591938284,2919591952591,2919591957262,14307
1221,"__amd_rocclr_copyBufferRectAligned.kd",1,3,484,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591942034,2919591948984,2919591958642,2919591962202,9658
1222,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1465,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591972802,2919591980593,2919591992857,2919591992779,12264
1223,"__amd_rocclr_copyBufferRectAligned.kd",1,3,485,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591987339,2919591994420,2919592010289,2919592013318,15869
1224,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1467,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919592021774,2919592029917,2919592043021,2919592043285,13104
1225,"__amd_rocclr_copyBufferRectAligned.kd",1,0,242,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919592034628,2919592041538,2919592057609,2919592058583,16071
1226,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1469,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919592062300,2919592072868,2919592086814,2919592086726,13946
1227,"__amd_rocclr_copyBufferRectAligned.kd",1,1,248,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919592081937,2919592088337,2919592103806,2919592103959,15469
1228,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1471,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919592106534,2919592116800,2919592131228,2919592131341,14428
1229,"__amd_rocclr_copyBufferRectAligned.kd",1,2,1473,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919592124117,2919592138521,2919592146817,2919592147150,8296
1230,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1474,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919592148543,2919592158970,2919592171634,2919592171546,12664
1231,"__amd_rocclr_copyBufferRectAligned.kd",1,3,488,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919592166196,2919592172716,2919592188626,2919592188999,15910
1232,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1477,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919592195011,2919592201690,2919592214194,2919592214087,12504
1233,"__amd_rocclr_copyBufferRectAligned.kd",1,3,489,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919592208105,2919592215517,2919592231427,2919592231249,15910
1234,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1479,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919592244244,2919592252065,2919592273105,2919592276955,21040
1235,"__amd_rocclr_copyBufferRectAligned.kd",1,0,244,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919592256336,2919592263287,2919592278235,2919592280652,14948
1236,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1481,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919592281995,2919592292582,2919592316186,2919592317161,23604
